,case:Rfp_id,concept:name,time:timestamp_end,org:role,event:id,time:timestamp_start
64,request for payment 76213,Permit FINAL_APPROVED by DIRECTOR,2017-01-12 10:56:40+00:00,DIRECTOR,9,2017-01-11 17:25:37+00:00
65,request for payment 76213,Request For Payment SUBMITTED by EMPLOYEE,2017-05-16 16:28:41+00:00,EMPLOYEE,2,2017-01-12 10:56:40+00:00
66,request for payment 76213,Request For Payment APPROVED by PRE_APPROVER,2017-05-16 16:28:59+00:00,PRE_APPROVER,10,2017-05-16 16:28:41+00:00
67,request for payment 76213,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-05-18 09:18:31+00:00,SUPERVISOR,3,2017-05-16 16:28:59+00:00
68,request for payment 76213,Request Payment,2017-05-19 08:41:41+00:00,UNDEFINED,6,2017-05-18 09:18:31+00:00
69,request for payment 76213,Payment Handled,2017-05-22 17:31:10+00:00,UNDEFINED,7,2017-05-19 08:41:41+00:00
70,request for payment 77877,Permit SUBMITTED by EMPLOYEE,2017-01-11 18:02:47+00:00,EMPLOYEE,0,2017-01-11 18:02:47+00:00
71,request for payment 77877,Permit FINAL_APPROVED by SUPERVISOR,2017-01-11 18:04:54+00:00,SUPERVISOR,1,2017-01-11 18:02:47+00:00
72,request for payment 77877,Request For Payment SUBMITTED by EMPLOYEE,2017-03-07 09:22:00+00:00,EMPLOYEE,2,2017-01-11 18:04:54+00:00
73,request for payment 77877,Request For Payment APPROVED by PRE_APPROVER,2017-03-07 09:22:48+00:00,PRE_APPROVER,10,2017-03-07 09:22:00+00:00
74,request for payment 77877,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-13 11:30:21+00:00,SUPERVISOR,3,2017-03-07 09:22:48+00:00
75,request for payment 77877,Request Payment,2017-03-21 14:18:44+00:00,UNDEFINED,6,2017-03-13 11:30:21+00:00
76,request for payment 77877,Payment Handled,2017-03-23 17:30:45+00:00,UNDEFINED,7,2017-03-21 14:18:44+00:00
77,request for payment 185377,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 09:09:35+00:00,EMPLOYEE,2,2017-01-16 09:09:35+00:00
78,request for payment 185377,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 09:10:17+00:00,SUPERVISOR,3,2017-01-16 09:09:35+00:00
79,request for payment 185377,Request Payment,2017-01-18 16:11:36+00:00,UNDEFINED,6,2017-01-16 09:10:17+00:00
80,request for payment 185377,Payment Handled,2017-01-23 17:32:19+00:00,UNDEFINED,7,2017-01-18 16:11:36+00:00
81,request for payment 185342,Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 09:16:14+00:00,EMPLOYEE,2,2017-01-16 09:16:14+00:00
82,request for payment 185342,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 09:16:24+00:00,SUPERVISOR,3,2017-01-16 09:16:14+00:00
83,request for payment 185342,Request Payment,2017-01-18 16:10:58+00:00,UNDEFINED,6,2017-01-16 09:16:24+00:00
84,request for payment 185342,Payment Handled,2017-01-23 17:32:19+00:00,UNDEFINED,7,2017-01-18 16:10:58+00:00
85,request for payment 76396,Permit SUBMITTED by EMPLOYEE,2017-01-17 10:24:51+00:00,EMPLOYEE,0,2017-01-17 10:24:51+00:00
86,request for payment 76396,Permit APPROVED by SUPERVISOR,2017-01-17 10:25:19+00:00,SUPERVISOR,8,2017-01-17 10:24:51+00:00
87,request for payment 76396,Permit FINAL_APPROVED by DIRECTOR,2017-01-17 13:17:01+00:00,DIRECTOR,9,2017-01-17 10:25:19+00:00
88,request for payment 76396,Request For Payment SUBMITTED by EMPLOYEE,2017-03-27 17:20:34+00:00,EMPLOYEE,2,2017-01-17 13:17:01+00:00
89,request for payment 76396,Request For Payment APPROVED by PRE_APPROVER,2017-03-27 17:21:31+00:00,PRE_APPROVER,10,2017-03-27 17:20:34+00:00
90,request for payment 76396,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-28 10:00:22+00:00,SUPERVISOR,3,2017-03-27 17:21:31+00:00
91,request for payment 76396,Request Payment,2017-03-28 14:47:02+00:00,UNDEFINED,6,2017-03-28 10:00:22+00:00
92,request for payment 76396,Payment Handled,2017-03-30 17:31:17+00:00,UNDEFINED,7,2017-03-28 14:47:02+00:00
93,request for payment 73039,Permit SUBMITTED by EMPLOYEE,2017-01-18 20:59:18+00:00,EMPLOYEE,0,2017-01-18 20:59:18+00:00
94,request for payment 73039,Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 20:59:28+00:00,SUPERVISOR,1,2017-01-18 20:59:18+00:00
95,request for payment 73039,Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 20:35:15+00:00,EMPLOYEE,2,2017-01-18 20:59:28+00:00
96,request for payment 73039,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-19 20:37:34+00:00,SUPERVISOR,3,2017-01-19 20:35:15+00:00
97,request for payment 73039,Request Payment,2017-01-20 12:14:28+00:00,UNDEFINED,6,2017-01-19 20:37:34+00:00
98,request for payment 73039,Payment Handled,2017-01-23 17:32:19+00:00,UNDEFINED,7,2017-01-20 12:14:28+00:00
99,request for payment 76424,Permit SUBMITTED by EMPLOYEE,2017-01-18 22:32:21+00:00,EMPLOYEE,0,2017-01-18 22:32:21+00:00
100,request for payment 76424,Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 22:32:35+00:00,SUPERVISOR,1,2017-01-18 22:32:21+00:00
101,request for payment 76424,Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 19:49:01+00:00,EMPLOYEE,2,2017-01-18 22:32:35+00:00
102,request for payment 76424,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 19:49:18+00:00,SUPERVISOR,3,2017-01-20 19:49:01+00:00
103,request for payment 76424,Request Payment,2017-02-10 11:31:02+00:00,UNDEFINED,6,2017-01-20 19:49:18+00:00
104,request for payment 76424,Payment Handled,2017-02-13 17:32:18+00:00,UNDEFINED,7,2017-02-10 11:31:02+00:00
105,request for payment 73258,Permit SUBMITTED by EMPLOYEE,2017-01-19 13:33:36+00:00,EMPLOYEE,0,2017-01-19 13:33:36+00:00
106,request for payment 73258,Permit FINAL_APPROVED by SUPERVISOR,2017-01-19 13:33:38+00:00,SUPERVISOR,1,2017-01-19 13:33:36+00:00
107,request for payment 73258,Request For Payment SUBMITTED by EMPLOYEE,2017-03-06 16:20:35+00:00,EMPLOYEE,2,2017-01-19 13:33:38+00:00
108,request for payment 73258,Request For Payment APPROVED by PRE_APPROVER,2017-03-06 16:21:33+00:00,PRE_APPROVER,10,2017-03-06 16:20:35+00:00
109,request for payment 73258,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 16:29:18+00:00,SUPERVISOR,3,2017-03-06 16:21:33+00:00
110,request for payment 73258,Request Payment,2017-03-07 10:28:45+00:00,UNDEFINED,6,2017-03-06 16:29:18+00:00
111,request for payment 73258,Payment Handled,2017-03-09 17:31:22+00:00,UNDEFINED,7,2017-03-07 10:28:45+00:00
112,request for payment 76579,Permit SUBMITTED by EMPLOYEE,2017-01-20 08:19:48+00:00,EMPLOYEE,0,2017-01-20 08:19:48+00:00
113,request for payment 76579,Permit FINAL_APPROVED by SUPERVISOR,2017-01-20 08:19:52+00:00,SUPERVISOR,1,2017-01-20 08:19:48+00:00
114,request for payment 76579,Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 15:32:54+00:00,EMPLOYEE,2,2017-01-20 08:19:52+00:00
115,request for payment 76579,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-03 15:44:07+00:00,SUPERVISOR,3,2017-02-03 15:32:54+00:00
116,request for payment 76579,Request Payment,2017-02-06 13:33:35+00:00,UNDEFINED,6,2017-02-03 15:44:07+00:00
117,request for payment 76579,Payment Handled,2017-02-09 17:32:18+00:00,UNDEFINED,7,2017-02-06 13:33:35+00:00
118,request for payment 185354,Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 19:51:01+00:00,EMPLOYEE,2,2017-01-20 19:51:01+00:00
119,request for payment 185354,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 19:51:09+00:00,SUPERVISOR,3,2017-01-20 19:51:01+00:00
120,request for payment 185354,Request Payment,2017-01-24 12:49:34+00:00,UNDEFINED,6,2017-01-20 19:51:09+00:00
121,request for payment 185354,Payment Handled,2017-01-26 17:30:47+00:00,UNDEFINED,7,2017-01-24 12:49:34+00:00
122,request for payment 74097,Permit SUBMITTED by EMPLOYEE,2017-01-24 11:15:56+00:00,EMPLOYEE,0,2017-01-24 11:15:56+00:00
123,request for payment 74097,Permit FINAL_APPROVED by SUPERVISOR,2017-01-24 11:15:58+00:00,SUPERVISOR,1,2017-01-24 11:15:56+00:00
124,request for payment 74097,Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 10:46:42+00:00,EMPLOYEE,2,2017-01-24 11:15:58+00:00
125,request for payment 74097,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 10:46:49+00:00,SUPERVISOR,3,2017-01-31 10:46:42+00:00
126,request for payment 74097,Request Payment,2017-02-03 08:50:07+00:00,UNDEFINED,6,2017-01-31 10:46:49+00:00
127,request for payment 74097,Payment Handled,2017-02-06 17:31:45+00:00,UNDEFINED,7,2017-02-03 08:50:07+00:00
128,request for payment 72603,Permit SUBMITTED by EMPLOYEE,2017-01-24 16:48:44+00:00,EMPLOYEE,0,2017-01-24 16:48:44+00:00
129,request for payment 72603,Permit FINAL_APPROVED by SUPERVISOR,2017-01-24 16:48:48+00:00,SUPERVISOR,1,2017-01-24 16:48:44+00:00
130,request for payment 72603,Request For Payment SUBMITTED by EMPLOYEE,2017-01-25 12:25:01+00:00,EMPLOYEE,2,2017-01-24 16:48:48+00:00
131,request for payment 72603,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-08 18:30:09+00:00,SUPERVISOR,3,2017-01-25 12:25:01+00:00
132,request for payment 72603,Request Payment,2017-02-15 15:22:51+00:00,UNDEFINED,6,2017-02-08 18:30:09+00:00
133,request for payment 72603,Payment Handled,2017-02-20 17:32:08+00:00,UNDEFINED,7,2017-02-15 15:22:51+00:00
134,request for payment 77902,Permit SUBMITTED by EMPLOYEE,2017-01-29 10:58:46+00:00,EMPLOYEE,0,2017-01-29 10:58:46+00:00
135,request for payment 77902,Permit FINAL_APPROVED by SUPERVISOR,2017-01-29 10:58:55+00:00,SUPERVISOR,1,2017-01-29 10:58:46+00:00
136,request for payment 77902,Request For Payment SUBMITTED by EMPLOYEE,2017-07-08 09:59:54+00:00,EMPLOYEE,2,2017-01-29 10:58:55+00:00
137,request for payment 77902,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-07-08 09:59:59+00:00,SUPERVISOR,3,2017-07-08 09:59:54+00:00
138,request for payment 77902,Request Payment,2017-07-14 15:37:26+00:00,UNDEFINED,6,2017-07-08 09:59:59+00:00
139,request for payment 77902,Payment Handled,2017-07-17 17:31:09+00:00,UNDEFINED,7,2017-07-14 15:37:26+00:00
140,request for payment 73897,Permit SUBMITTED by EMPLOYEE,2017-01-31 09:41:52+00:00,EMPLOYEE,0,2017-01-31 09:41:52+00:00
141,request for payment 73897,Permit FINAL_APPROVED by SUPERVISOR,2017-01-31 14:56:20+00:00,SUPERVISOR,1,2017-01-31 09:41:52+00:00
142,request for payment 73897,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 10:06:54+00:00,EMPLOYEE,2,2017-01-31 14:56:20+00:00
143,request for payment 73897,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-07 08:36:52+00:00,SUPERVISOR,3,2017-02-09 10:06:54+00:00
144,request for payment 73897,Request Payment,2017-03-09 12:30:22+00:00,UNDEFINED,6,2017-03-07 08:36:52+00:00
145,request for payment 73897,Payment Handled,2017-03-13 17:31:05+00:00,UNDEFINED,7,2017-03-09 12:30:22+00:00
146,request for payment 76930,Permit SUBMITTED by EMPLOYEE,2017-01-31 14:38:55+00:00,EMPLOYEE,0,2017-01-31 14:38:55+00:00
147,request for payment 76930,Permit APPROVED by PRE_APPROVER,2017-01-31 14:40:27+00:00,PRE_APPROVER,11,2017-01-31 14:38:55+00:00
148,request for payment 76930,Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 15:52:50+00:00,SUPERVISOR,1,2017-01-31 14:40:27+00:00
149,request for payment 76930,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 16:48:30+00:00,EMPLOYEE,2,2017-02-01 15:52:50+00:00
150,request for payment 76930,Request For Payment REJECTED by PRE_APPROVER,2017-02-09 16:48:32+00:00,PRE_APPROVER,12,2017-02-09 16:48:30+00:00
151,request for payment 76930,Request For Payment REJECTED by EMPLOYEE,2017-02-13 16:12:00+00:00,EMPLOYEE,13,2017-02-09 16:48:32+00:00
152,request for payment 76930,Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 18:28:35+00:00,EMPLOYEE,2,2017-02-13 16:12:00+00:00
153,request for payment 76930,Request For Payment APPROVED by PRE_APPROVER,2017-03-01 18:29:42+00:00,PRE_APPROVER,10,2017-03-01 18:28:35+00:00
154,request for payment 76930,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 08:57:39+00:00,SUPERVISOR,3,2017-03-01 18:29:42+00:00
155,request for payment 76930,Request Payment,2017-03-08 15:37:12+00:00,UNDEFINED,6,2017-03-02 08:57:39+00:00
156,request for payment 76930,Payment Handled,2017-03-13 17:31:05+00:00,UNDEFINED,7,2017-03-08 15:37:12+00:00
157,request for payment 76934,Permit SUBMITTED by EMPLOYEE,2017-01-31 14:38:55+00:00,EMPLOYEE,0,2017-01-31 14:38:55+00:00
158,request for payment 76934,Permit APPROVED by PRE_APPROVER,2017-01-31 14:40:27+00:00,PRE_APPROVER,11,2017-01-31 14:38:55+00:00
159,request for payment 76934,Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 15:52:50+00:00,SUPERVISOR,1,2017-01-31 14:40:27+00:00
160,request for payment 76934,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 16:44:25+00:00,EMPLOYEE,2,2017-02-01 15:52:50+00:00
161,request for payment 76934,Request For Payment REJECTED by PRE_APPROVER,2017-02-09 16:44:31+00:00,PRE_APPROVER,12,2017-02-09 16:44:25+00:00
162,request for payment 76934,Request For Payment REJECTED by EMPLOYEE,2017-02-13 16:11:13+00:00,EMPLOYEE,13,2017-02-09 16:44:31+00:00
163,request for payment 76934,Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 18:30:04+00:00,EMPLOYEE,2,2017-02-13 16:11:13+00:00
164,request for payment 76934,Request For Payment APPROVED by PRE_APPROVER,2017-03-01 18:30:53+00:00,PRE_APPROVER,10,2017-03-01 18:30:04+00:00
165,request for payment 76934,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 09:13:04+00:00,SUPERVISOR,3,2017-03-01 18:30:53+00:00
166,request for payment 76934,Request Payment,2017-03-08 15:36:58+00:00,UNDEFINED,6,2017-03-02 09:13:04+00:00
167,request for payment 76934,Payment Handled,2017-03-13 17:31:05+00:00,UNDEFINED,7,2017-03-08 15:36:58+00:00
168,request for payment 76932,Permit SUBMITTED by EMPLOYEE,2017-01-31 14:38:55+00:00,EMPLOYEE,0,2017-01-31 14:38:55+00:00
169,request for payment 76932,Permit APPROVED by PRE_APPROVER,2017-01-31 14:40:27+00:00,PRE_APPROVER,11,2017-01-31 14:38:55+00:00
170,request for payment 76932,Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 15:52:50+00:00,SUPERVISOR,1,2017-01-31 14:40:27+00:00
171,request for payment 76932,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 16:58:45+00:00,EMPLOYEE,2,2017-02-01 15:52:50+00:00
172,request for payment 76932,Request For Payment REJECTED by PRE_APPROVER,2017-02-09 16:58:49+00:00,PRE_APPROVER,12,2017-02-09 16:58:45+00:00
173,request for payment 76932,Request For Payment REJECTED by EMPLOYEE,2017-02-13 16:12:56+00:00,EMPLOYEE,13,2017-02-09 16:58:49+00:00
174,request for payment 76932,Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 18:26:25+00:00,EMPLOYEE,2,2017-02-13 16:12:56+00:00
175,request for payment 76932,Request For Payment APPROVED by PRE_APPROVER,2017-03-01 18:27:46+00:00,PRE_APPROVER,10,2017-03-01 18:26:25+00:00
176,request for payment 76932,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 08:50:30+00:00,SUPERVISOR,3,2017-03-01 18:27:46+00:00
177,request for payment 76932,Request Payment,2017-03-08 15:37:25+00:00,UNDEFINED,6,2017-03-02 08:50:30+00:00
178,request for payment 76932,Payment Handled,2017-03-13 17:31:05+00:00,UNDEFINED,7,2017-03-08 15:37:25+00:00
179,request for payment 76936,Permit SUBMITTED by EMPLOYEE,2017-01-31 14:38:55+00:00,EMPLOYEE,0,2017-01-31 14:38:55+00:00
180,request for payment 76936,Permit APPROVED by PRE_APPROVER,2017-01-31 14:40:27+00:00,PRE_APPROVER,11,2017-01-31 14:38:55+00:00
181,request for payment 76936,Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 15:52:50+00:00,SUPERVISOR,1,2017-01-31 14:40:27+00:00
182,request for payment 76936,Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 16:40:05+00:00,EMPLOYEE,2,2017-02-01 15:52:50+00:00
183,request for payment 76936,Request For Payment REJECTED by PRE_APPROVER,2017-02-09 16:42:55+00:00,PRE_APPROVER,12,2017-02-09 16:40:05+00:00
184,request for payment 76936,Request For Payment REJECTED by EMPLOYEE,2017-02-13 15:29:48+00:00,EMPLOYEE,13,2017-02-09 16:42:55+00:00
185,request for payment 76936,Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 18:31:41+00:00,EMPLOYEE,2,2017-02-13 15:29:48+00:00
186,request for payment 76936,Request For Payment APPROVED by PRE_APPROVER,2017-03-01 18:32:52+00:00,PRE_APPROVER,10,2017-03-01 18:31:41+00:00
187,request for payment 76936,Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 09:15:48+00:00,SUPERVISOR,3,2017-03-01 18:32:52+00:00
188,request for payment 76936,Request Payment,2017-03-08 15:36:23+00:00,UNDEFINED,6,2017-03-02 09:15:48+00:00
189,request for payment 76936,Payment Handled,2017-03-13 17:31:05+00:00,UNDEFINED,7,2017-03-08 15:36:23+00:00
190,request for payment 72937,Permit SUBMITTED by EMPLOYEE,2017-02-02 10:55:35+00:00,EMPLOYEE,0,2017-02-02 10:55:35+00:00
